1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110450 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Bevilles Jewellers || Industry (ANZSIC4) code: 3732 || Industry (ANZSIC4) description: Jewellery and Watch Wholesaling || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110450 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Pharmacy Alliance || Industry (ANZSIC4) code: 3720 || Industry (ANZSIC4) description: Pharmaceutical and Toiletry Goods Wholesaling || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110450 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Esri || Industry (ANZSIC4) code: 7000 || Industry (ANZSIC4) description: Computer System Design and Related Services || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110438 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110448 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Landence Group || Industry (ANZSIC4) code: 3019 || Industry (ANZSIC4) description: Other Residential Building Construction || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110438 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Fitness Australia || Industry (ANZSIC4) code: 9539 || Industry (ANZSIC4) description: Other Personal Services n.e.c. || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110450 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: People Living With Hiv/Aids Victoria Inc / Living Positive Victoria || Industry (ANZSIC4) code: 8599 || Industry (ANZSIC4) description: Other Health Care Services n.e.c. || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110450 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Campari || Industry (ANZSIC4) code: 3606 || Industry (ANZSIC4) description: Liquor and Tobacco Product Wholesaling || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110439 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: NGA Human Resources || Industry (ANZSIC4) code: 7291 || Industry (ANZSIC4) description: Office Administrative Services || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110438 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Full Circle || Industry (ANZSIC4) code: 6711 || Industry (ANZSIC4) description: Residential Property Operators || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110449 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Villaworld || Industry (ANZSIC4) code: 3011 || Industry (ANZSIC4) description: House Construction || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110449 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Home Repair || Industry (ANZSIC4) code: 3299 || Industry (ANZSIC4) description: Other Construction Services n.e.c. || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110448 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Kaw Consulting Pty Ltd || Industry (ANZSIC4) code: 5801 || Industry (ANZSIC4) description: Wired Telecommunications Network Operation || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110439 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Ekit || Industry (ANZSIC4) code: 5809 || Industry (ANZSIC4) description: Other Telecommunications Services || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
